index,degree,closeness,betweenness,eigenvector,entropyK,meanK
玉泉路,0.004830917874396135,0.06615532118887824,0.02628957397906246,0.00022910563003869443,88.7945891205736,0.009624293711178162
燕化,0.0024154589371980675,0.03128542280661981,0.0,5.0238093319519085e-15,55.720753654719026,0.004259209990325294
万寿寺,0.004830917874396135,0.0821917808219178,0.028456034510759624,0.03379893724736198,105.37766350160499,0.01588742410707184
丰益桥南,0.007246376811594201,0.07672349888806522,0.01275370952442223,0.0008200714418202525,106.64072764977655,0.014737418353772073
六里桥东,0.004830917874396135,0.07715244129705554,0.012383858656809741,0.0025376418383373763,112.61807174437735,0.01627562619898347
荣昌东街,0.004830917874396135,0.05191873589164785,0.0033730646110896666,1.7324561358252207e-07,85.85495555728971,0.007592480420038418
燕郊北,0.004830917874396135,0.060526315789473685,0.028634593115064742,1.3984100347166495e-05,66.85293479858782,0.005409407622231701
四季青,0.0024154589371980675,0.06700113286939634,0.0,0.0008314725261619032,93.25460748657106,0.011253418228259354
奥林匹克公园,0.00966183574879227,0.07752808988764046,0.028352790779748945,0.002152711793037518,90.60113771921384,0.01083718235352909
万安公墓,0.004830917874396135,0.05631886818119984,0.009638441473371466,4.038743760516513e-05,50.62919703735235,0.004300518922598408
西铁营,0.004830917874396135,0.08585649108253837,0.015287063919726462,0.004236130583314277,115.58118657999779,0.022484146189439704
土桥,0.004830917874396135,0.04147049984974457,0.006146475145843499,8.10487867795621e-10,114.73340989452521,0.018697649364720577
黄厂村,0.004830917874396135,0.04815073272854152,0.023166551956424586,8.792993732525617e-08,117.81536154505126,0.016405304014338366
高家园,0.00966183574879227,0.07551988325428675,0.0295965723234304,0.0010395973361198422,91.9135188563595,0.010151067267703675
万源街,0.004830917874396135,0.05309734513274336,0.005112623940921658,1.5728621812908358e-07,85.03014845525021,0.007208904519857415
牡丹园,0.007246376811594201,0.09116934595903986,0.03905726922264096,0.050920055693311435,115.1648552231115,0.019689871951245882
金台夕照,0.004830917874396135,0.08599916909015372,0.002021724050358645,0.01324557872813442,142.11837386736124,0.029555021064747184
